1945	1
1947	1
1954	1
1956	1
1960	2
1962	2
1963	1
1964	1
1965	1
1966	1
1967	1
1968	2
1969	1
1970	1
1971	3
1972	2
1973	5
1974	3
1975	5
1976	2
1977	2
1978	3
1979	6
1980	6
1981	5
1982	7
1983	2
1984	3
1985	5
1986	3
1987	2
1988	7
1989	7
1990	9
1991	7
1992	4
1993	9
1994	4
1995	8
1996	7
1997	10
1998	10
1999	12
2000	12
2001	15
2002	17
2003	14
2004	20
2005	30
2006	37
2007	38
2008	47
2009	41
2010	56
2011	55
2012	62
2013	81
2014	95
2015	146
2016	269
2017	301
2018	285
2019	230
2020	164
2021	2
release_year	2
